127.0.0.1 - - [11/Oct/2018:11:32:16 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:32:18 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:32:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:32:22 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:34:36 +0530] "GET /Frontend/Login.html HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:34:47 +0530] "GET /Frontend/Register.html HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:37:52 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:37:54 +0530] "GET /Frontend/Register.html HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:38:03 +0530] "GET /Frontend/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:39:59 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:40:11 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:40:15 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:40:17 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:40:17 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:40:35 +0530] "GET /Frontend/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:42:57 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:44:07 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:44:17 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:44:35 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:40 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:42 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:56 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:57 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:57 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:57 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:58 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:58 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:58 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:58 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:58 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:58 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:45:59 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:46:03 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:46:39 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:46:41 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:46:52 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:47:01 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1897
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:47:02 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:47:02 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:47:02 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:47:22 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:53:38 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:53:54 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:53:56 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:54:23 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:54:38 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:54:39 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:11:55:01 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:44 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:45 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
