127.0.0.1 - - [18/Nov/2018:19:25:14 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:18 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:19 +0530] "GET /Frontend/Forum//ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:19 +0530] "GET /Frontend/js//MyController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:19 +0530] "GET /Frontend/user//UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:19 +0530] "GET /Frontend/job//JobController.js HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:19 +0530] "GET /Frontend/images//blogger.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:19 +0530] "GET /Frontend/Blog//BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:19 +0530] "GET /Frontend/Home.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:20 +0530] "GET /Frontend/images//nature5.jpg HTTP/1.1" 200 193601
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:20 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 200 243238
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:20 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:20 +0530] "GET /Frontend/images//img_avatar2.png HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:20 +0530] "GET /Frontend/images//img_avatar3.png HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:20 +0530] "GET /Frontend/images//Chris-Pratt.jpg HTTP/1.1" 200 41819
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:37 +0530] "GET /Frontend/user/Register.html HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:41 +0530] "GET /Frontend/user/Login.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:49 +0530] "POST /Middleware/login HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:49 +0530] "GET /Frontend/user/UserHome.html HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:52 +0530] "GET /Frontend/Blog/AddBlog.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:57 +0530] "GET /Frontend/Blog/ViewBlog.html HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:25:57 +0530] "GET /Middleware/listBlog HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:02 +0530] "GET /Middleware/incrementLikes/3002 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:04 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:04 +0530] "GET /Middleware/listBlog HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:11 +0530] "GET /Frontend/Blog/BlogComment.html HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:19 +0530] "GET /Middleware/listBlog HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:26 +0530] "GET /Frontend/user/Logout.html HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:35 +0530] "POST /Middleware/login HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:41 +0530] "GET /Frontend/Blog/ViewPendingBlogs.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:41 +0530] "GET /Middleware/listPendingBlog HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:55 +0530] "GET /Frontend/Forum/ViewPendingForums.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:55 +0530] "GET /Middleware/listPendingForum HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:26:59 +0530] "GET /Frontend/job/AddJob.html HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:27:02 +0530] "GET /Frontend/job/ViewJob.html HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [18/Nov/2018:19:27:02 +0530] "GET /Middleware/listAllJobs HTTP/1.1" 200 822
